Year,State,HAI,Facility_ID,Facility_Name,County,Hospital_Category_RiskAdjustment,Hospital_Type,Operative_Procedure,Procedure_Count,Infections_Reported,Infections_Predicted,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,"On Track Toward 2020 Goal (0.82, 2018)",SIR_2015,Notes
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,STATE OF CALIFORNIA POOLED DATA - Exploratory abdominal surgery (laparotomy),39149,260,220.83,1.18,1.04,1.33,Worse,No,0.95,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000102,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,,4144,30,28.57,1.05,0.72,1.48,Same,No,0.97,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000102,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,Abdominal aortic aneurysm repair,3,0,0.02,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000102,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,Appendix surgery,241,0,0.56,0.00,0.00,6.55,Same,Yes,1.89,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000102,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,"Bile duct, liver or pancreatic surgery",42,1,1.11,0.91,0.05,4.46,Same,No,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000102,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,Cardiac surgery,90,0,0.40,0.00,0.00,9.18,Same,Yes,0.00,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000102,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,"Coronary bypass,chest and donor incisions",164,1,1.31,0.77,0.04,3.78,Same,Yes,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000102,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,"Coronary bypass,chest incision only",27,0,0.19,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000102,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,Gallbladder surgery,362,1,1.26,0.80,0.04,3.93,Same,Yes,0.88,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000102,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,Colon surgery,238,9,4.84,1.86,0.91,3.41,Same,No,1.10,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000102,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,Cesarean section,2,0,0.00,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000102,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,Spinal fusion,453,5,2.78,1.80,0.66,3.99,Same,No,2.10,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000102,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,Open reduction of fracture,280,0,1.80,0.00,0.00,1.66,Same,Yes,0.00,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000102,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,Gastric surgery,55,0,0.55,0.00,0.00,6.66,Same,Yes,5.25,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000102,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,Hip prosthesis,369,4,2.86,1.40,0.45,3.38,Same,No,0.53,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000102,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,"Hysterectomy,abdominal",215,1,1.64,0.61,0.03,3.01,Same,Yes,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000102,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,Knee prosthesis,468,4,2.73,1.47,0.47,3.54,Same,No,1.33,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000102,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,Laminectomy,83,0,0.25,0.00,0.00,15.06,Same,Yes,4.38,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000102,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,Kidney surgery,13,0,0.04,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000102,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,Ovarian surgery,210,0,0.14,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000102,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,Pacemaker surgery,259,1,0.46,2.17,0.06,12.06,Same,No,0.00,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000102,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,Rectal surgery,50,0,0.40,0.00,0.00,9.13,Same,Yes,0.00,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000102,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,Small bowel surgery,164,1,3.31,0.30,0.02,1.49,Same,Yes,1.21,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000102,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,Spleen surgery,21,0,0.17,,,,,,,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000102,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,Thoracic surgery,139,1,0.56,1.79,0.05,9.97,Same,No,3.15,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000102,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,"Hysterectomy, vaginal",91,0,0.67,0.00,0.00,5.48,Same,Yes,0.00,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",930000102,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,Exploratory abdominal surgery (laparotomy),105,1,0.52,1.93,0.05,10.78,Same,No,,† See data dictionary
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",080000039,Sharp Memorial Hospital,San Diego,Acute Care Hospital,Major Teaching,,5372,48,47.68,1.01,0.75,1.32,Same,No,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",080000039,Sharp Memorial Hospital,San Diego,Acute Care Hospital,Major Teaching,Appendix surgery,403,0,2.26,0.00,0.00,1.33,Same,Yes,0.45,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",080000039,Sharp Memorial Hospital,San Diego,Acute Care Hospital,Major Teaching,"Bile duct, liver or pancreatic surgery",65,2,3.60,0.56,0.09,1.84,Same,Yes,0.70,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",080000039,Sharp Memorial Hospital,San Diego,Acute Care Hospital,Major Teaching,Cardiac surgery,303,0,1.35,0.00,0.00,2.22,Same,Yes,3.86,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",080000039,Sharp Memorial Hospital,San Diego,Acute Care Hospital,Major Teaching,"Coronary bypass,chest and donor incisions",117,1,1.15,0.87,0.04,4.28,Same,No,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",080000039,Sharp Memorial Hospital,San Diego,Acute Care Hospital,Major Teaching,"Coronary bypass,chest incision only",17,0,0.15,,,,,,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",080000039,Sharp Memorial Hospital,San Diego,Acute Care Hospital,Major Teaching,Gallbladder surgery,522,3,2.20,1.36,0.35,3.71,Same,No,0.90,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",080000039,Sharp Memorial Hospital,San Diego,Acute Care Hospital,Major Teaching,Colon surgery,345,13,9.07,1.43,0.80,2.39,Same,No,1.32,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",080000039,Sharp Memorial Hospital,San Diego,Acute Care Hospital,Major Teaching,Cesarean section,1,0,0.01,,,,,,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",080000039,Sharp Memorial Hospital,San Diego,Acute Care Hospital,Major Teaching,Spinal fusion,585,5,4.18,1.20,0.44,2.65,Same,No,0.91,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",080000039,Sharp Memorial Hospital,San Diego,Acute Care Hospital,Major Teaching,Open reduction of fracture,444,2,3.22,0.62,0.10,2.05,Same,Yes,2.89,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",080000039,Sharp Memorial Hospital,San Diego,Acute Care Hospital,Major Teaching,Gastric surgery,282,1,1.41,0.71,0.04,3.49,Same,Yes,1.48,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",080000039,Sharp Memorial Hospital,San Diego,Acute Care Hospital,Major Teaching,Hip prosthesis,459,2,4.30,0.47,0.08,1.54,Same,Yes,0.70,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",080000039,Sharp Memorial Hospital,San Diego,Acute Care Hospital,Major Teaching,Heart transplant,13,0,0.22,0.00,0.00,16.77,Same,Yes,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",080000039,Sharp Memorial Hospital,San Diego,Acute Care Hospital,Major Teaching,"Hysterectomy,abdominal",52,0,0.46,0.00,0.00,8.00,Same,Yes,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",080000039,Sharp Memorial Hospital,San Diego,Acute Care Hospital,Major Teaching,Knee prosthesis,496,1,2.41,0.42,0.02,2.05,Same,Yes,0.00,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",080000039,Sharp Memorial Hospital,San Diego,Acute Care Hospital,Major Teaching,Kidney transplant,77,0,0.32,0.00,0.00,11.64,Same,Yes,0.00,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",080000039,Sharp Memorial Hospital,San Diego,Acute Care Hospital,Major Teaching,Laminectomy,213,0,0.82,0.00,0.00,4.52,Same,Yes,3.12,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",080000039,Sharp Memorial Hospital,San Diego,Acute Care Hospital,Major Teaching,Kidney surgery,128,0,0.42,0.00,0.00,8.74,Same,Yes,0.00,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",080000039,Sharp Memorial Hospital,San Diego,Acute Care Hospital,Major Teaching,Ovarian surgery,37,0,0.04,,,,,,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",080000039,Sharp Memorial Hospital,San Diego,Acute Care Hospital,Major Teaching,Rectal surgery,78,0,1.99,0.00,0.00,1.51,Same,Yes,0.00,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",080000039,Sharp Memorial Hospital,San Diego,Acute Care Hospital,Major Teaching,Small bowel surgery,259,9,5.15,1.75,0.85,3.21,Same,No,1.68,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",080000039,Sharp Memorial Hospital,San Diego,Acute Care Hospital,Major Teaching,Spleen surgery,19,0,0.14,,,,,,4.13,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",080000039,Sharp Memorial Hospital,San Diego,Acute Care Hospital,Major Teaching,Thoracic surgery,120,2,0.59,3.41,0.41,12.33,Same,No,2.56,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",080000039,Sharp Memorial Hospital,San Diego,Acute Care Hospital,Major Teaching,"Hysterectomy, vaginal",6,2,0.04,,,,,,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",080000039,Sharp Memorial Hospital,San Diego,Acute Care Hospital,Major Teaching,Exploratory abdominal surgery (laparotomy),331,5,2.20,2.28,0.83,5.04,Same,No,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,,4013,16,36.99,0.43,0.26,0.69,Better,Yes,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,Abdominal aortic aneurysm repair,4,0,0.03,,,,,,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,Appendix surgery,123,0,0.38,0.00,0.00,9.79,Same,Yes,0.00,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,"Bile duct, liver or pancreatic surgery",306,3,5.77,0.52,0.13,1.41,Same,Yes,0.37,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,Cardiac surgery,216,0,0.83,0.00,0.00,4.43,Same,Yes,0.00,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,"Coronary bypass,chest and donor incisions",80,1,0.51,1.95,0.05,10.84,Same,No,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,"Coronary bypass,chest incision only",8,0,0.05,,,,,,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,Gallbladder surgery,277,0,2.34,0.00,0.00,1.28,Same,Yes,0.00,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,Colon surgery,233,5,5.69,0.88,0.32,1.95,Same,No,0.28,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,Cesarean section,1,0,0.00,,,,,,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,Spinal fusion,282,0,1.50,0.00,0.00,2.00,Same,Yes,0.00,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,Open reduction of fracture,131,0,0.70,0.00,0.00,5.26,Same,Yes,0.00,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,Gastric surgery,235,0,2.43,0.00,0.00,1.23,Same,Yes,0.00,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,Hip prosthesis,119,1,0.67,1.50,0.04,8.38,Same,No,0.00,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,Heart transplant,14,0,1.59,0.00,0.00,1.88,Same,Yes,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,"Hysterectomy,abdominal",99,1,0.71,1.40,0.04,7.81,Same,No,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,Knee prosthesis,239,0,0.86,0.00,0.00,4.28,Same,Yes,1.01,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,Kidney transplant,158,2,0.99,2.03,0.25,7.34,Same,No,1.03,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,Laminectomy,95,0,0.26,0.00,0.00,14.24,Same,Yes,0.00,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,Liver transplant,40,1,1.91,0.52,0.03,2.58,Same,Yes,0.00,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,Kidney surgery,118,0,0.39,0.00,0.00,9.48,Same,Yes,0.00,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,Ovarian surgery,95,0,0.07,,,,,,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,Pacemaker surgery,183,0,0.34,0.00,0.00,10.82,Same,Yes,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,Rectal surgery,63,1,0.57,1.74,0.04,9.71,Same,No,0.00,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,Small bowel surgery,251,0,4.99,0.00,0.00,0.60,Better,Yes,0.26,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,Spleen surgery,29,0,0.12,,,,,,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,Thoracic surgery,211,0,0.99,0.00,0.00,3.72,Same,Yes,0.00,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,"Hysterectomy, vaginal",8,0,0.06,,,,,,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",220000197,"California Pacific Medical Center, Pacific Campus Hospital",San Francisco,Acute Care Hospital,Major Teaching,Exploratory abdominal surgery (laparotomy),395,1,2.23,0.45,0.02,2.21,Same,Yes,,"Hospitals reported combined data, see Data Dictionary"
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",030000086,University of California Davis Medical Center,Sacramento,Acute Care Hospital,Major Teaching,,6034,62,66.16,0.94,0.73,1.19,Same,No,,
